VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2,2025-11-01T00:26:15.000+05:30,2025-11-01T00:28:44.000+05:30,1,0.36,1,N,90,68,1,4.4,1.0,0.5,2.0,0.0,1.0,12.15,2.5,0.0,0.75
2,2025-11-01T00:41:35.000+05:30,2025-11-01T00:45:16.000+05:30,1,0.01,1,N,186,186,3,-5.1,-1.0,-0.5,0.0,0.0,-1.0,-10.85,-2.5,0.0,-0.75
2,2025-11-01T00:41:35.000+05:30,2025-11-01T00:45:16.000+05:30,1,0.01,1,N,186,186,3,5.1,1.0,0.5,0.0,0.0,1.0,10.85,2.5,0.0,0.75
2,2025-11-01T00:47:39.000+05:30,2025-11-01T01:19:12.000+05:30,2,4.31,5,N,68,265,1,65.0,0.0,0.0,10.0,14.06,1.0,90.81,0.0,0.0,0.75
2,2025-11-01T00:14:46.000+05:30,2025-11-01T00:48:37.000+05:30,1,3.92,1,N,90,141,1,29.6,1.0,0.5,7.07,0.0,1.0,42.42,2.5,0.0,0.75
2,2025-11-01T00:54:20.000+05:30,2025-11-01T01:29:07.000+05:30,1,7.98,1,N,162,173,1,41.5,1.0,0.5,3.0,0.0,1.0,50.25,2.5,0.0,0.75
2,2025-11-01T00:15:12.000+05:30,2025-11-01T00:37:32.000+05:30,1,3.03,1,N,238,48,1,22.6,1.0,0.5,7.09,0.0,1.0,35.44,2.5,0.0,0.75
2,2025-11-01T00:19:04.000+05:30,2025-11-01T00:23:07.000+05:30,1,0.54,1,N,141,140,1,5.8,1.0,0.5,2.31,0.0,1.0,13.86,2.5,0.0,0.75
2,2025-11-01T00:30:32.000+05:30,2025-11-01T00:40:58.000+05:30,1,1.46,1,N,237,239,1,11.4,1.0,0.5,4.1,0.0,1.0,20.5,2.5,0.0,0.0
1,2025-11-01T00:38:41.000+05:30,2025-11-01T00:56:44.000+05:30,0,1.8,1,N,229,48,1,16.3,4.25,0.5,4.4,0.0,1.0,26.45,2.5,0.0,0.75
2,2025-11-01T00:16:50.000+05:30,2025-11-01T00:30:16.000+05:30,2,0.91,1,N,48,233,1,12.1,1.0,0.5,0.0,0.0,1.0,17.85,2.5,0.0,0.75
2,2025-11-01T00:33:49.000+05:30,2025-11-01T00:53:47.000+05:30,2,1.61,1,N,233,113,1,17.0,1.0,0.5,4.55,0.0,1.0,27.3,2.5,0.0,0.75
2,2025-11-01T00:34:57.000+05:30,2025-11-01T00:48:15.000+05:30,1,1.33,1,N,79,137,2,13.5,1.0,0.5,0.0,0.0,1.0,19.25,2.5,0.0,0.75
1,2025-11-01T00:24:16.000+05:30,2025-11-01T01:55:42.000+05:30,1,45.7,4,N,132,265,1,273.2,2.75,0.5,0.0,6.94,1.0,284.39,0.0,1.75,0.0
2,2025-11-01T00:17:34.000+05:30,2025-11-01T00:29:45.000+05:30,2,1.75,1,N,158,231,1,12.8,1.0,0.5,2.0,0.0,1.0,20.55,2.5,0.0,0.75
2,2025-11-01T00:39:27.000+05:30,2025-11-01T01:15:54.000+05:30,3,4.32,1,N,231,229,1,32.4,1.0,0.5,7.63,0.0,1.0,45.78,2.5,0.0,0.75
2,2025-11-01T00:05:09.000+05:30,2025-11-01T00:15:14.000+05:30,1,1.99,1,N,148,224,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75
2,2025-11-01T00:16:24.000+05:30,2025-11-01T00:35:56.000+05:30,1,2.85,1,N,224,141,1,19.1,1.0,0.5,4.97,0.0,1.0,29.82,2.5,0.0,0.75
2,2025-11-01T00:41:27.000+05:30,2025-11-01T00:50:23.000+05:30,1,1.32,1,N,141,239,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,0.0
2,2025-11-01T00:28:41.000+05:30,2025-11-01T00:38:29.000+05:30,4,1.0,1,N,148,79,1,10.0,1.0,0.5,2.0,0.0,1.0,17.75,2.5,0.0,0.75
2,2025-11-01T00:40:29.000+05:30,2025-11-01T01:00:12.000+05:30,5,1.29,1,N,79,170,1,17.0,1.0,0.5,1.0,0.0,1.0,23.75,2.5,0.0,0.75
2,2025-11-01T00:22:00.000+05:30,2025-11-01T00:53:31.000+05:30,1,1.81,1,N,125,186,2,25.4,1.0,0.5,0.0,0.0,1.0,31.15,2.5,0.0,0.75
2,2025-11-01T00:56:10.000+05:30,2025-11-01T01:11:00.000+05:30,1,1.14,1,N,186,249,1,13.5,1.0,0.5,2.0,0.0,1.0,21.25,2.5,0.0,0.75
2,2025-11-01T00:44:54.000+05:30,2025-11-01T01:00:15.000+05:30,3,10.18,1,N,138,237,1,39.4,6.0,0.5,11.62,6.94,1.0,69.71,2.5,1.75,0.0
2,2025-11-01T00:20:02.000+05:30,2025-11-01T00:28:34.000+05:30,1,2.16,1,N,236,43,2,12.1,1.0,0.5,0.0,0.0,1.0,17.1,2.5,0.0,0.0
1,2025-11-01T00:00:53.000+05:30,2025-11-01T00:09:39.000+05:30,1,1.7,1,N,237,263,1,10.0,3.5,0.5,3.0,0.0,1.0,18.0,2.5,0.0,0.0
1,2025-11-01T00:12:50.000+05:30,2025-11-01T00:32:46.000+05:30,1,4.5,1,N,263,7,1,21.2,4.25,0.5,5.39,0.0,1.0,32.34,2.5,0.0,0.75
1,2025-11-01T00:06:48.000+05:30,2025-11-01T00:30:16.000+05:30,1,1.4,1,N,79,234,1,19.8,4.25,0.5,2.0,0.0,1.0,27.55,2.5,0.0,0.75
1,2025-11-01T00:36:16.000+05:30,2025-11-01T01:09:16.000+05:30,1,10.5,1,N,113,244,1,44.3,4.25,0.5,7.0,0.0,1.0,57.05,2.5,0.0,0.75
2,2025-11-01T00:07:50.000+05:30,2025-11-01T01:02:57.000+05:30,1,7.32,1,N,68,255,2,50.6,1.0,0.5,0.0,0.0,1.0,56.35,2.5,0.0,0.75
2,2025-11-01T00:58:22.000+05:30,2025-11-01T01:27:43.000+05:30,2,6.49,1,N,230,261,1,33.1,1.0,0.5,5.0,0.0,1.0,43.85,2.5,0.0,0.75
